Gom6eTpgbOw,M1 맥북을 사야할까?,노마드 코더 Nomad Coders,2020-12-14,1

QTgRNer2epE,민트 초코 논란! 자연어 처리(NLP)로 종결해드림.,노마드 코더 Nomad Coders,2020-11-10,1

1mlk9CZTV0M,집에서 일하는 개발자의 하루 💻 풀스택 | 헬창 | 1일1식,노마드 코더 Nomad Coders,2020-10-20,1

63bdCwJmRP4,트레이딩 봇을 만들고 100만원을 넣었다.,노마드 코더 Nomad Coders,2020-10-11,1

Q_9cFgzZr8Q,SQL vs NoSQL 5분컷 설명!,노마드 코더 Nomad Coders,2020-08-25,1

O9flTs5Wl9U,인공지능 GPT-3 열풍! 과장 아닐까?,노마드 코더 Nomad Coders,2020-08-18,1

kH---FMbPak,핵 시설을 해킹한 역대급 바이러스!?,노마드 코더 Nomad Coders,2020-08-04,1

ao0VtQnBBXA,왜 도메인을 돈 주고 사야해? 도메인 시스템 6분 설명!,노마드 코더 Nomad Coders,2020-07-21,1

r1zw_eM2aiQ,인터넷 익스플로러! 처참한 몰락의 이유는?,노마드 코더 Nomad Coders,2020-07-07,1

Jz8Sx1XYb04,깨끗한 코드를 위한 5가지 팁,노마드 코더 Nomad Coders,2020-06-23,1

t9ccIykXTCM,라이브러리? 프레임워크? 차이점 아직도 모름? 5분 순삭.,노마드 코더 Nomad Coders,2020-06-17,1

nBCLR5gNs9g,미래는 정말 원격근무의 시대일까?,노마드 코더 Nomad Coders,2020-05-27,1

ODa9mY2bEEc,풀스택 주니어 웹 개발자가 되려면? ver.2020,노마드 코더 Nomad Coders,2020-05-06,1

7eVG4o8mS_I,윈도우로 개발을 한다고? feat. WSL,노마드 코더 Nomad Coders,2020-04-29,1

LJ9TXkh9Xhk,코로나19가 주는 레거시 시스템 교훈,노마드 코더 Nomad Coders,2020-04-07,1

WQ52gWMxCF8,아이패드로 코딩할 수 있나요? 꿀팁 대방출!,노마드 코더 Nomad Coders,2020-02-24,1

ufLmReluPww,서버리스는 서버가 없는걸까? 8분 개념 설명!,노마드 코더 Nomad Coders,2020-01-13,1

FF6CF8TZIhE,프로그래밍 독학할때 자주 하는 실수 5가지,노마드 코더 Nomad Coders,2020-01-06,1

S-01KjUJ3_Q,과연 이 언어가 C.C++를 대체할 수 있을까? feat.아마존,노마드 코더 Nomad Coders,2019-12-23,1

ThGbP9wgkz8,누구나 코딩을 할 수 있다? 5가지 팩폭 드림.,노마드 코더 Nomad Coders,2019-12-16,1

z9chRlD1tec,아직도 SQL을 모른다고해서 5분 설명해드림,노마드 코더 Nomad Coders,2019-12-09,1

NMHQkAS7XEc,왜 자바스크립트는 현재 가장 유명한 프로그래밍 언어일까?,노마드 코더 Nomad Coders,2019-12-02,1

67UwxR3ts2E,비밀번호 털렸다고?  암호화. 해시함수. 5분 설명.,노마드 코더 Nomad Coders,2019-11-18,1

Wn7j5dfbJF4,코딩 인생 꿀템 VSC 단축키 5분 정리해드림,노마드 코더 Nomad Coders,2019-11-11,1

1-O4O0z4tRQ,인기폭풍 파이썬의 비결. 5분안에 정리해줌.,노마드 코더 Nomad Coders,2019-11-04,1

2HKO20NWE04,풀스택 개발자가 정확히 뭔가요?,노마드 코더 Nomad Coders,2019-10-28,1

ksz_mSninEY,네이티브 앱 vs 크로스 플랫폼 앱 vs 하이브리드 앱 | 5분 장단점 분석!,노마드 코더 Nomad Coders,2019-10-13,1

zGrTT4k1-yc,C. C++. C#. 차이점 알려드림. 5분 순삭.,노마드 코더 Nomad Coders,2019-10-07,1

chnCcGCTyBg,Docker 가 왜 좋은지 5분안에 설명해줌,노마드 코더 Nomad Coders,2019-09-26,1

YFNQwo7iTNc,깃. 깃허브. 기초개념 잡아드림. 5분 순삭.,노마드 코더 Nomad Coders,2019-09-21,1

arbbhHyRP90,머신러닝 vs 딥러닝 vs 인공지능? A.I. 개념정리!,노마드 코더 Nomad Coders,2019-09-16,1

FcJV0v3uWQo,세상에서 가장 난해한 프로그래밍 언어 TOP 5,노마드 코더 Nomad Coders,2019-09-05,1

h7LU7_9XMUs,웹 개발자에게 블록체인이란? feat. 하이퍼레저,노마드 코더 Nomad Coders,2019-08-31,1

6FnkGKYK6iQ,jQuery를 배워야할까? 5분 개념 정리해드림.,노마드 코더 Nomad Coders,2019-08-26,1

p_v_js0mxVc,어떤 언어부터 배워야할까? 5개 언어. 5분 개념탑재.,노마드 코더 Nomad Coders,2019-08-07,1

9sSxdhYGYSM,네. 파이썬은 C언어보다 느립니다. 컴파일 기초개념 잡아드림.,노마드 코더 Nomad Coders,2019-07-31,1

1emZgLiGE4s,페이스북과 쿠키의 상관관계? Cookie 기초개념 잡아드림.,노마드 코더 Nomad Coders,2019-07-26,1

iyFHfzCRHA8,API 기초개념 잡아드림. 5분 순삭.,노마드 코더 Nomad Coders,2019-07-17,1

Qc-D9oPKQt4,아이디어가 있다구? 창의력을 위한 조언 한마디,노마드 코더 Nomad Coders,2019-05-07,1

3hxT4cSm03s,주니어 개발자가 빠르게 성장할 수 있는 비법은?,노마드 코더 Nomad Coders,2019-04-29,1

xOxE40I75GM,바닐라 JS로 게임 만들기 Vanilla JS  | #2 6 Saving the Image,노마드 코더 Nomad Coders,2019-04-23,1

NfNl79hBB0o,핀란드에서 일하는 AI 개발자 인터뷰 (feat. 여름휴가가 한달이라고?),노마드 코더 Nomad Coders,2018-12-04,1

VBmQUMUGznU,초보자를 위한 바닐라 자바스크립트 #2-2 JS DOM Functions,노마드 코더 Nomad Coders,2018-11-17,1

PRA_bhUxuh4,초보자를 위한 바닐라 자바스크립트 #1-10 Organizing Data with Objects,노마드 코더 Nomad Coders,2018-11-12,1

FlWWCNzJBfo,초보자를 위한 바닐라 자바스크립트 #1-8 Data Types on JS,노마드 코더 Nomad Coders,2018-11-12,1

1fc0MHYb_DE,초보자를 위한 바닐라 자바스크립트 #1-4 VanillaJS,노마드 코더 Nomad Coders,2018-11-10,1

